h3,can_train,can_pub
851f8357fffffff,0.0,1.0
851f8353fffffff,1.0,1.0
851f8343fffffff,1.0,1.0
851f8347fffffff,1.0,1.0
851f830bfffffff,1.0,1.0
851f831bfffffff,1.0,1.0
851f83cffffffff,1.0,1.0
851f83cbfffffff,1.0,1.0
851f8227fffffff,1.0,1.0
851f835bfffffff,1.0,1.0
851f834bfffffff,1.0,1.0
851f834ffffffff,1.0,1.0
851f837bfffffff,0.0,1.0
851f8373fffffff,0.0,1.0
851f830ffffffff,0.0,1.0
851f8303fffffff,1.0,1.0
851f8313fffffff,1.0,1.0
851f83c7fffffff,0.0,1.0
851f83c3fffffff,1.0,1.0
851f83dbfffffff,1.0,1.0
851f8237fffffff,1.0,1.0
851f8223fffffff,1.0,1.0
851f822ffffffff,0.0,1.0
851f9c97fffffff,1.0,1.0
851f9c87fffffff,0.0,1.0
851f9cb3fffffff,0.0,1.0
851f9cb7fffffff,1.0,1.0
851f836bfffffff,1.0,1.0
851f8363fffffff,0.0,1.0
851f8377fffffff,0.0,1.0
851f833bfffffff,1.0,1.0
851f8307fffffff,1.0,1.0
851f8317fffffff,1.0,1.0
851f838ffffffff,1.0,1.0
851f838bfffffff,1.0,1.0
851f83d7fffffff,0.0,1.0
851f83d3fffffff,0.0,1.0
851f82a7fffffff,0.0,1.0
851f82affffffff,0.0,1.0
851f8233fffffff,1.0,1.0
851f823bfffffff,0.0,1.0
851f822bfffffff,0.0,1.0
851f9c93fffffff,1.0,1.0
851f9c83fffffff,1.0,1.0
851f9c8ffffffff,1.0,1.0
851f9cbbfffffff,1.0,1.0
851f9ca3fffffff,1.0,1.0
851f9ca7fffffff,1.0,1.0
851f9dd3fffffff,1.0,1.0
851f836ffffffff,1.0,1.0
851f8367fffffff,1.0,1.0
851f832bfffffff,1.0,1.0
851f8323fffffff,1.0,1.0
851f8333fffffff,1.0,1.0
851f83abfffffff,1.0,1.0
851f83bbfffffff,1.0,1.0
851f8387fffffff,1.0,1.0
851f8383fffffff,1.0,1.0
851f839bfffffff,0.0,1.0
851f806ffffffff,0.0,1.0
851f806bfffffff,0.0,1.0
851f82b7fffffff,0.0,0.0
851f82a3fffffff,0.0,0.0
851f82abfffffff,0.0,0.0
851f8207fffffff,0.0,0.0
851f820ffffffff,0.0,1.0
851f8277fffffff,1.0,1.0
851f8267fffffff,0.0,1.0
851f9c9bfffffff,1.0,1.0
851f9c8bfffffff,1.0,1.0
851f9c13fffffff,1.0,1.0
851f9c17fffffff,0.0,1.0
851f9cabfffffff,0.0,1.0
851f9caffffffff,1.0,1.0
851f9ddbfffffff,0.0,1.0
851f9dc3fffffff,1.0,1.0
851f9dd7fffffff,0.0,0.0
851f9d9bfffffff,0.0,1.0
851f9d93fffffff,1.0,1.0
851f832ffffffff,1.0,1.0
851f8327fffffff,0.0,1.0
851f8337fffffff,1.0,1.0
851f83affffffff,1.0,1.0
851f83a3fffffff,1.0,1.0
851f83b3fffffff,1.0,1.0
851f814bfffffff,0.0,0.0
851f8397fffffff,0.0,0.0
851f8393fffffff,0.0,0.0
851f8067fffffff,0.0,0.0
851f8063fffffff,0.0,0.0
851f807bfffffff,0.0,0.0
851f804ffffffff,0.0,0.0
851f82b3fffffff,0.0,0.0
851f82bbfffffff,0.0,0.0
851f8217fffffff,0.0,0.0
851f8203fffffff,0.0,0.0
851f820bfffffff,0.0,0.0
851f8273fffffff,0.0,1.0
851f8263fffffff,0.0,1.0
851f826ffffffff,1.0,1.0
851f9cd7fffffff,0.0,1.0
851f9cc7fffffff,0.0,1.0
851f9c1bfffffff,1.0,1.0
851f9c03fffffff,0.0,1.0
851f9c07fffffff,1.0,1.0
